"gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue",,,,,
"1838189682	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	austerengdalen	46fec380-8e1d-11dd-8679-b8a03c50a862	65.018276	12.356161		5.0					2018-04-14T02:00Z	14	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74654			CC_BY_4_0		Marius Iversen			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189681	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Skred"," HÌügmoen-II	46fec380-8e1d-11dd-8679-b8a03c50a862	67.162032	14.882411		5.0					2018-04-16T02:00Z	16	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74686			CC_BY_4_0		Geir StÌüvset			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189680	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	SÌürvik	46fec380-8e1d-11dd-8679-b8a03c50a862	68.81147	16.539899		16.0					2018-04-15T02:00Z	15	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74707			CC_BY_4_0		Lotte Luther			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189679	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Fuglstad	46fec380-8e1d-11dd-8679-b8a03c50a862	65.084182	12.36826		25.0					2018-04-14T02:00Z	14	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74653			CC_BY_4_0		Kristoffer Fuglstad			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189678	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Navitdalen KvÌ_nangen	46fec380-8e1d-11dd-8679-b8a03c50a862	69.767761	21.056974							2018-04-17T02:00Z	17	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74692			CC_BY_4_0		Eirik Rognmo			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1838189677	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus		SPECIES	Canis lupus Linnaeus"," 1758	NO	VÌ´gslia	46fec380-8e1d-11dd-8679-b8a03c50a862	59.741678	11.03486		2.0					2018-04-15T02:00Z	15	4	2018	5219173	5219173	HUMAN_OBSERVATION	NINA	Skandobs	74657			CC_BY_4_0		Trond Gjestad			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189676	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Salcu skaidi (skierrevarri)	46fec380-8e1d-11dd-8679-b8a03c50a862	69.156372	24.700328							2018-04-13T02:00Z	13	4	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74696			CC_BY_4_0		Ailo Sara			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID",,,,
"1838189675	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Nova	46fec380-8e1d-11dd-8679-b8a03c50a862	68.622977	17.188784		4.0					2018-04-13T02:00Z	13	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74627			CC_BY_4_0		Tom Elvevoll			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
"1838189674	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Gulo	Gulo gulo		SPECIES	Gulo gulo (Linnaeus"," 1758)	NO	Hamran"," Innset	46fec380-8e1d-11dd-8679-b8a03c50a862	62.708464	10.148309		5.0					2018-04-18T02:00Z	18	4	2018	5219073	5219073	HUMAN_OBSERVATION	NINA	Skandobs	74700			CC_BY_4_0		KÌ´re Ola Botnan			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,
"1838189673	9ea87732-b88e-488d-a02b-3dc6e9b885e0		Animalia	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx lynx		SPECIES	Lynx lynx (Linnaeus"," 1758)	NO	Jordalen	46fec380-8e1d-11dd-8679-b8a03c50a862	63.00918	8.193908		5.0					2018-03-27T02:00Z	27	3	2018	2435240	2435240	HUMAN_OBSERVATION	NINA	Skandobs	74698			CC_BY_4_0		Lars Erling Koksvik			2018-04-20T09:23Z		GEODETIC_DATUM_ASSUMED_WGS84",,,,
